,,,,,,,
date,temperature,humidity,rain,pressure,windspeed,signal,timestamp
31-12-2018 3:35:20,20.2,66,0,92839,3.7,27,1546227320904
31-12-2018 3:41:17,20.5,65,0,92837,1.7,27,1546227677750
31-12-2018 3:47:14,20.6,63,0,92830,6.6,27,1546228034809
31-12-2018 3:53:11,20.8,62,0,92833,3.3,27,1546228391798
31-12-2018 3:59:8,21.1,61,0,92841,3.2,27,1546228748671
31-12-2018 4:5:5,21.2,61,0,92841,3.9,27,1546229105539
31-12-2018 4:11:2,21.3,61,0,92846,5.5,27,1546229462400
31-12-2018 4:16:59,21.3,61,0,92840,5.1,27,1546229819395
31-12-2018 4:22:56,21.6,57,0,92840,5.6,27,1546230176230
31-12-2018 4:28:53,21.9,57,0,92837,6.2,27,1546230533518
31-12-2018 4:34:50,22,51,0,92835,2.4,27,1546230890512
31-12-2018 4:40:47,22.3,53,0,92843,3.9,27,1546231247667
31-12-2018 4:46:44,22.7,52,0,92832,3,27,1546231604617
31-12-2018 4:52:53,22.1,51,0,92841,5.4,27,1546231973012
31-12-2018 4:58:53,22.1,52,0,92834,5.3,26,1546232333839
31-12-2018 5:4:51,23.1,50,0,92829,4.9,27,1546232691040
31-12-2018 5:10:48,23.1,51,0,92832,3.3,27,1546233048851
31-12-2018 5:16:46,23.5,49,0,92818,2.4,27,1546233406307
31-12-2018 5:22:45,22.9,51,0,92816,3.3,27,1546233765201
31-12-2018 5:28:52,23,50,0,92812,4.2,27,1546234132392
31-12-2018 5:34:58,22.9,49,0,92798,7.3,26,1546234498787
31-12-2018 5:40:58,22.8,49,0,92786,2.3,26,1546234858642
31-12-2018 5:50:10,23.3,45,0,92766,1.9,27,1546235410728
31-12-2018 5:56:12,23.8,45,0,92766,3.2,26,1546235772226
31-12-2018 6:2:9,23.4,44,0,92751,3,27,1546236129098
31-12-2018 6:8:6,23.5,47,0,92740,3.4,27,1546236486629
31-12-2018 6:14:3,23.4,47,0,92727,1.5,27,1546236843785
31-12-2018 6:20:0,24.1,46,0,92714,5.6,27,1546237200798
31-12-2018 6:25:57,24.4,44,0,92697,4.4,27,1546237557631
31-12-2018 6:31:54,24.6,43,0,92682,2.3,27,1546237914804
